bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,cohort,freq,n_units
0,0,0.015120320167598015,0.010150653718743324,4,-0.004774961121138899,0.03501560145633493,-0.01291146089781521,0.04315210123301124,C4,week,13
1,4,-0.019654711751592623,0.013710112115143567,4,-0.04652653149727401,0.0072171079940887665,-0.0575162004638244,0.018206776960639156,C4,week,13
2,8,-0.014689308884271411,0.025161245177428845,1,-0.06400534943203195,0.034626731663489126,-0.08417394856264962,0.054795330794106804,C4,week,13
3,12,0.00364021627700872,0.015294870766230675,4,-0.0263377304248034,0.033618162978820844,-0.03859770067124539,0.04587813322526284,C4,week,13
4,16,0.0028761752420699404,0.011677665804603936,4,-0.020012049734953775,0.025764400219093653,-0.029372562648108655,0.03512491313224854,C4,week,13
5,20,-0.020885948102787925,0.012887025817556179,4,-0.046144518705198034,0.0043726224996221835,-0.0564744231223836,0.014702526916807748,C4,week,13
6,24,-0.039612779780134603,0.017882620930638488,4,-0.07466271680418604,-0.004562842756083166,-0.08899696021748028,0.009771400657211077,C4,week,13
7,28,-0.03132456926347254,0.015299391337369014,4,-0.06131137628471581,-0.0013377622422292741,-0.07357497010330169,0.010925831576356612,C4,week,13
8,32,-0.038774208067383055,0.0215395378463332,4,-0.08099170224619612,0.003443286111430015,-0.09825723506136719,0.020708818926601077,C4,week,13
9,36,-0.04455480359018022,0.019743240149128698,4,-0.08325155428247247,-0.005858052897887975,-0.09907722162521974,0.009967614444859302,C4,week,13
10,40,-0.04899082743271841,0.022054107261297598,2,-0.0922168776648617,-0.005764777200575118,-0.10989487592767298,0.011913221062236162,C4,week,13
11,44,-0.05588866593181877,0.02700909847525947,3,-0.10882649894332733,-0.0029508329203102104,-0.13047628917372286,0.018698957310085314,C4,week,13
12,48,-0.042561170849959126,0.027399678011986242,4,-0.09626453975345216,0.011142198053533905,-0.11822740837282707,0.033105066672908814,C4,week,13
13,52,-0.0640381009045341,0.025714890201637423,4,-0.11443928569974345,-0.013636916109324757,-0.13505167226914577,0.006975470460077585,C4,week,13
14,56,-0.06650008186708134,0.026837690095262757,4,-0.11910195445379634,-0.013898209280366336,-0.14061434818893082,0.00761418445476815,C4,week,13
15,60,-0.04818533359692777,0.026034152829868304,1,-0.09921227314346964,0.0028416059496141066,-0.12008057232454003,0.023709905130684494,C4,week,13
16,64,-0.045217435673961366,0.025483635935689624,4,-0.09516536210791303,0.004730490759990297,-0.1155923812777985,0.02515750992987576,C4,week,13
17,68,-0.04661220891589217,0.02123279347909573,4,-0.0882284841349198,-0.004995933696864539,-0.10524813865055674,0.012023720818772399,C4,week,13
18,72,-0.07757267790816488,0.026444273630832963,4,-0.12940345422459748,-0.02574190159173228,-0.15060049556335744,-0.0045448602529723214,C4,week,13
19,76,-0.07409891030526919,0.028283263451257253,4,-0.12953410666973342,-0.018663713940804974,-0.15220523437551847,0.004007413764980081,C4,week,13
20,80,-0.07434751758827855,0.028254358087524536,4,-0.12972605943982665,-0.01896897573673046,-0.15237401735851497,0.0036789821819578628,C4,week,13
21,84,-0.0697183056837019,0.028427093047765285,4,-0.12543540805732184,-0.014001203310081936,-0.14822182582346097,0.008785214456057178,C4,week,13
22,88,-0.0491359158009993,0.02314679672161036,4,-0.09450363737535561,-0.0037681942266429916,-0.11305750706439774,0.014785675462399145,C4,week,13
23,92,-0.05552057427641641,0.023049047884167086,1,-0.10069670812938389,-0.010344440423448918,-0.11917222489495284,0.008131076342120028,C4,week,13
